Epoch,Train_accuracy,Train_loss,Validation_accuracy,Validation_loss,Test_accuracy,Test_loss
1,0.653734676,0.629025939,0.801190481,0.397012522,0.803030303,0
2,0.82564102,0.353629537,0.897619039,0.2645675,0.823232323,0
3,0.942809354,0.140715511,0.99166666,0.060430936,0.95959596,0
4,0.962095864,0.097328538,1,0.033041056,0.974747475,0
5,0.975362306,0.048260162,0.949999988,0.207372598,0.848484848,0
6,0.962318827,0.09246209,0.958333328,0.161764109,0.929292929,0
7,0.975362311,0.061180146,0.99166666,0.020024376,0.98989899,0
8,0.988405787,0.026489213,0.99166666,0.022639873,0.984848485,0
9,0.99275362,0.022561065,0.93095237,0.153608373,0.929292929,0
10,0.984057965,0.039680757,0.99166666,0.028639833,0.994949495,0
11,0.997101447,0.010193963,0.983333319,0.033992144,0.964646465,0
12,0.992753617,0.025388014,0.947619051,0.077020497,0.984848485,0
13,0.994202896,0.014611498,0.99166666,0.021242563,0.984848485,0
14,0.991304346,0.013956562,0.983333334,0.058177936,0.95959596,0
15,0.998550723,0.010096986,0.99166666,0.01593949,0.974747475,0
16,0.99565217,0.009318874,0.99166666,0.052045063,0.994949495,0
17,0.995652173,0.016614071,0.983333334,0.047406479,0.964646465,0
18,0.99275362,0.022261898,0.99166666,0.012130182,0.964646465,0
19,0.989632101,0.03884664,0.99166666,0.018120755,0.97979798,0
20,0.971014489,0.081086115,0.99166666,0.020502901,0.96969697,0
21,0.998550723,0.007164148,0.99166666,0.022280721,0.984848485,0
22,0.991081378,0.02881166,0.983333319,0.072174586,0.994949495,0
23,0.986956519,0.039712062,0.914285719,0.250068265,0.898989899,0
24,0.979710138,0.06883854,0.99166666,0.050724543,0.984848485,0
25,0.997101447,0.00997481,0.99166666,0.021264181,0.97979798,0
26,0.998550723,0.005169907,1,0.007874178,0.974747475,0
27,0.986956519,0.035571509,1,0.008674696,0.96969697,0
28,0.99565217,0.0112924,0.99166666,0.050185972,0.994949495,0
29,0.989855067,0.01565156,0.983333319,0.030546505,0.96969697,0
30,0.99565217,0.0125127,0.99166666,0.023522667,0.994949495,0
